epoch,accuracy,loss,val_accuracy,val_loss
0,0.7214912176132202,0.7702234983444214,0.36618006229400635,1.4736580848693848
1,0.8082706928253174,0.5820932984352112,0.5839415788650513,0.944282054901123
2,0.8468044996261597,0.5322617888450623,0.5705596208572388,0.9356310963630676
3,0.8565163016319275,0.4974294900894165,0.7895377278327942,0.6230517625808716
4,0.8771929740905762,0.4637467563152313,0.7761557102203369,0.5938872694969177
5,0.88345867395401,0.4484460651874542,0.8588807582855225,0.4787629544734955
6,0.9107142686843872,0.39546555280685425,0.7347931861877441,0.8118476867675781
7,0.914160430431366,0.3871566653251648,0.9051094651222229,0.3691771924495697
8,0.9176065325737,0.3891834020614624,0.9209246039390564,0.34549057483673096
9,0.9244987368583679,0.37427788972854614,0.871046245098114,0.5375118851661682
10,0.9260651469230652,0.36687004566192627,0.8236009478569031,0.5590364336967468
11,0.9282581210136414,0.35744360089302063,0.9635036587715149,0.28886887431144714
12,0.935776948928833,0.34812337160110474,0.7262773513793945,0.852181613445282
13,0.9282581210136414,0.36014997959136963,0.8917275071144104,0.42006829380989075
14,0.9423558712005615,0.32961714267730713,0.9489051103591919,0.3261672854423523
15,0.9683583974838257,0.2832127809524536,0.989051103591919,0.22945894300937653
16,0.9718044996261597,0.27211177349090576,0.974452555179596,0.24718929827213287
17,0.9743107557296753,0.2679380774497986,0.9695863723754883,0.2538978159427643
18,0.9780701994895935,0.2597740590572357,0.989051103591919,0.2252543419599533
19,0.977756917476654,0.2653335630893707,0.9781022071838379,0.2434791624546051
20,0.9771303534507751,0.2614143490791321,0.9866179823875427,0.22427211701869965
21,0.9733709096908569,0.2685270309448242,0.9647201895713806,0.2498016357421875
22,0.9802631735801697,0.2515798509120941,0.9525547623634338,0.30742883682250977
23,0.9799498915672302,0.25144797563552856,0.9927007555961609,0.21331341564655304
24,0.9765037298202515,0.2650294005870819,0.9841849207878113,0.2263486534357071
25,0.9799498915672302,0.25083428621292114,0.989051103591919,0.21007756888866425
26,0.9808897376060486,0.2511041462421417,0.9902676343917847,0.21650885045528412
27,0.9793233275413513,0.2556549608707428,0.9841849207878113,0.22530080378055573
28,0.9824561476707458,0.24741482734680176,0.9671533107757568,0.267081618309021
29,0.9859022498130798,0.2367629110813141,0.9683698415756226,0.2593279182910919
30,0.9899749159812927,0.2299569845199585,0.9939172863960266,0.19923372566699982
31,0.9887217879295349,0.22764696180820465,0.9951338171958923,0.19815310835838318
32,0.9927945137023926,0.22467239201068878,0.9951338171958923,0.19304510951042175
33,0.9921678900718689,0.22278940677642822,0.9975669384002686,0.19666284322738647
34,0.9924812316894531,0.22489528357982635,0.9963503479957581,0.20277073979377747
35,0.9927945137023926,0.2232522815465927,0.9951338171958923,0.20177404582500458
36,0.9912280440330505,0.22233182191848755,0.9951338171958923,0.19565685093402863
37,0.9912280440330505,0.22562234103679657,0.9951338171958923,0.19449388980865479
38,0.9937343597412109,0.220341756939888,0.9951338171958923,0.1949962079524994
39,0.9927945137023926,0.22021658718585968,0.9951338171958923,0.19389376044273376
